Date,Negative Score,Neutral Score,Positive Score,Compound Score,count
2018/7/5,0.058,0.844,0.097,0.9983,1
2018/7/6,0.106,1.741,0.153,0.0603,2
2018/7/9,0.061,0.889,0.05,-0.4118,1
2018/7/10,0.082,1.773,0.144,1.9737,2
2018/7/11,0.032,0.835,0.133,0.9481,1
2018/7/13,0.116,1.711,0.173,1.9178,2
2018/7/16,0.097,0.82,0.083,-0.3553,1
2018/7/18,0.069,0.859,0.072,0.315,1
2018/7/19,0.074,1.831,0.095,0.4273,2
2018/7/23,0.227,3.296,0.477,3.7726,4
2018/7/24,0.018,0.932,0.049,0.9463,1
2018/7/27,0.065,0.813,0.121,0.9932,1
2018/7/28,0.046,0.844,0.11,0.9973,1
2018/7/30,0.01,0.958,0.032,0.8941,1
2018/7/31,0.064,0.865,0.072,0.4767,1
2018/8/1,0.092,2.611,0.297,2.9741,3
2018/8/2,0.181,3.339,0.479,3.9151,4
2018/8/3,0.08,1.756,0.164,1.9495,2
2018/8/7,0.259,4.277,0.463,2.8159,5
2018/8/8,0.417,8.713,0.87,8.6432,10
2018/8/9,0.163,4.457,0.38,3.7959,5
2018/8/10,0.294,4.214,0.493,4.0386,5
2018/8/11,0.13,0.772,0.098,-0.7615,1
2018/8/12,0.034,0.91,0.056,0.925,1
2018/8/13,0.18,4.598,0.221,1.0223,5
2018/8/14,0.431,6.902,0.667,2.5878,8
2018/8/15,0.169,5.447,0.386,4.2027,6
2018/8/16,0.147,4.475,0.377,3.4224,5
2018/8/17,0.35,4.245,0.404,2.5965,5
2018/8/20,0.204,3.377,0.419,3.9377,4
2018/8/21,0.267,3.383,0.351,1.0629,4
2018/8/22,0.076,0.822,0.103,0.9782,1
2018/8/24,0.311,3.356,0.333,1.1514,4
2018/8/25,0.025,0.848,0.127,0.999,1
2018/8/27,0.151,1.651,0.198,0.1075,2
2018/8/28,0.188,2.504,0.308,2.8317,3
2018/8/29,0.207,2.557,0.237,0.9081,3
2018/8/30,0.033,1.795,0.172,1.978,2
2018/8/31,0.06,0.849,0.091,0.9986,1
2018/9/4,0.035,0.864,0.101,0.926,1
2018/9/6,0.11,2.667,0.223,2.8418,3
2018/9/7,0.206,3.536,0.258,1.5843,4
2018/9/8,0.125,2.625,0.25,2.6047,3
2018/9/9,0.05,1.658,0.291,1.8561,2
2018/9/10,0.05,0.856,0.094,0.9501,1
2018/9/12,0.141,2.599,0.261,2.8048,3
2018/9/13,0.061,1.762,0.178,1.9543,2
2018/9/14,0.187,3.425,0.388,3.9411,4
2018/9/16,0.032,0.876,0.092,0.9933,1
2018/9/17,0.071,0.825,0.104,0.9815,1
2018/9/18,0.069,1.762,0.169,1.9849,2
2018/9/19,0.055,2.703,0.242,1.9465,3
2018/9/20,0.164,1.598,0.238,0.2493,2
2018/9/21,0.15,3.368,0.481,3.8561,4
2018/9/23,0.13,1.648,0.222,1.8669,2
2018/9/24,0.149,1.736,0.115,-0.1109,2
2018/9/26,0.089,0.831,0.08,-0.94,1
2018/9/27,0.039,0.855,0.106,0.9734,1
2018/9/28,0.669,9.363,0.969,5.4592,11
2018/9/29,0.11,1.611,0.279,1.9297,2
2018/9/30,0.167,2.503,0.331,2.7037,3
2018/10/1,0.356,6.122,0.52,2.3367,7
2018/10/2,0.068,1.787,0.146,1.489,2
2018/10/3,0.116,1.764,0.12,0.1666,2
2018/10/4,0.095,1.728,0.176,0.1912,2
2018/10/5,0.247,3.514,0.239,-0.2158,4
2018/10/9,0.087,0.869,0.045,-0.9477,1
2018/10/11,0.106,0.829,0.064,-0.9724,1
2018/10/12,0.023,0.89,0.087,0.9408,1
2018/10/14,0.05,0.826,0.124,0.9967,1
2018/10/15,0.091,2.603,0.306,2.7787,3
2018/10/16,0.032,0.886,0.082,0.9545,1
2018/10/17,0.14,4.523,0.336,3.9019,5
2018/10/18,0.07,1.769,0.16,1.9163,2
2018/10/19,0.097,1.699,0.204,1.104,2
2018/10/20,0.023,0.888,0.089,0.999,1
2018/10/22,0.062,2.665,0.274,2.8945,3
2018/10/23,0.099,2.553,0.348,2.9785,3
2018/10/24,0.243,4.239,0.518,4.9506,5
2018/10/25,0.242,4.331,0.427,2.4155,5
2018/10/26,0.028,0.92,0.052,0.9552,1
2018/10/27,0.105,0.827,0.068,-0.6486,1
2018/10/30,0.185,3.46,0.355,3.0663,4
2018/10/31,0.059,1.783,0.159,1.8558,2
2018/11/1,0.19,3.493,0.318,1.9816,4
2018/11/2,0.109,2.709,0.18,0.3205,3
2018/11/3,0.107,1.707,0.186,1.947,2
2018/11/4,0.043,0.858,0.098,0.993,1
2018/11/5,0.055,0.785,0.16,0.9972,1
2018/11/6,0.071,0.845,0.083,0.9074,1
2018/11/8,0.085,1.728,0.186,1.9722,2
2018/11/9,0.226,3.418,0.359,1.8116,4
2018/11/11,0.066,0.829,0.105,0.9868,1
2018/11/12,0.186,1.623,0.191,-0.5301,2
